Beat    Tag    Timestamp    Global_Rate    Window_Rate    Instant_Rate    Global_Accuracy    Window_Accuracy    Instant_Accuracy    Global_Power    Window_Power    Instant_Power
104    104    1637862272469342461    45.474275    44.313709    99.344120    1.000000    1.000000    1.000000    17.546085    16.976058    16.186470
105    105    1637862272479408585    45.708098    44.315334    99.343104    1.000000    1.000000    1.000000    17.540373    16.955336    16.230264
106    106    1637862272489474573    45.939903    44.316658    99.344446    1.000000    1.000000    1.000000    17.533992    16.931430    16.063737
107    107    1637862272499540687    46.169710    44.318424    99.343202    1.000000    1.000000    1.000000    17.527703    16.911253    16.072631
108    108    1637862272509605719    46.397569    44.319687    99.353882    1.000000    1.000000    1.000000    17.521600    16.889464    16.103164
109    109    1637862272519671479    46.623470    44.320946    99.346696    1.000000    1.000000    1.000000    17.515789    16.867626    16.159604
110    110    1637862272529738235    46.847431    44.322102    99.336867    1.000000    1.000000    1.000000    17.510078    16.845455    16.171647
111    111    1637862272539804806    47.069501    44.323532    99.338692    1.000000    1.000000    1.000000    17.504039    16.825147    16.082512
112    112    1637862272549870963    47.289708    44.324608    99.342778    1.000000    1.000000    1.000000    17.498270    16.805398    16.134713
113    113    1637862272559936192    47.508086    44.325874    99.351937    1.000000    1.000000    1.000000    17.492570    16.784192    16.139232
114    114    1637862272570002078    47.724627    44.326900    99.345453    1.000000    1.000000    1.000000    17.486785    16.763883    16.107861
115    115    1637862272580025245    47.940213    44.330605    99.768865    1.000000    1.000000    1.000000    17.481484    16.746884    16.206960
116    116    1637862272590090625    48.153183    44.333466    99.350447    1.000000    1.000000    1.000000    17.475847    16.728009    16.120799
117    117    1637862273235184375    38.375985    22.871084    1.550162    1.000000    1.000000    1.000000    17.316602    16.718187    16.716803
118    118    1637862273245262934    38.574766    22.871130    99.220533    1.000000    1.000000    1.000000    17.316484    16.717767    17.280627
119    119    1637862273255337138    38.772308    22.871243    99.263426    1.000000    1.000000    1.000000    17.316569    16.717640    17.342624
120    120    1637862273265449325    38.968091    31.981270    98.890576    1.000000    1.000000    1.000000    17.316014    16.597132    17.146204
121    121    1637862273275519670    39.163129    31.982182    99.301464    1.000000    1.000000    1.000000    17.316161    16.610945    17.361392
122    122    1637862273285592067    39.356885    31.982111    99.281234    1.000000    1.000000    1.000000    17.322047    16.643132    19.142420
123    123    1637862273295661554    39.549432    31.981985    99.309925    1.000000    1.000000    1.000000    17.315983    16.635552    15.433832
124    124    1637862273305731626    39.740739    31.981812    99.304156    1.000000    1.000000    1.000000    17.320791    16.664530    18.818028
125    125    1637862273315799989    39.930846    31.981728    99.321012    1.000000    1.000000    1.000000    17.320603    16.676589    17.261754
